Month,Mean,P25,P75
1.0,5.69,3.68,7.56
2.0,7.50,5.35,9.52
3.0,7.28,5.05,9.28
4.0,8.19,5.76,10.19
5.0,11.37,7.35,14.54
6.0,17.70,9.52,24.57
7.0,20.10,9.46,26.92
8.0,12.39,6.42,14.33
9.0,7.46,4.83,9.47
10.0,7.15,4.51,9.44
11.0,6.13,3.79,8.19
12.0,4.67,2.90,6.05
