Month,Mean,P25,P75
1.0,0.15,0.00,0.11
2.0,0.20,0.01,0.12
3.0,0.54,0.01,0.54
4.0,1.91,0.13,2.93
5.0,6.28,2.28,9.06
6.0,11.36,5.18,15.89
7.0,11.75,5.05,16.37
8.0,5.21,1.25,6.97
9.0,1.49,0.15,2.16
10.0,0.57,0.02,0.67
11.0,0.26,0.00,0.20
12.0,0.16,0.00,0.10
