Month,Mean,P25,P75
1.0,0.37,0.17,0.45
2.0,0.30,0.15,0.35
3.0,0.26,0.09,0.25
4.0,0.53,0.06,0.55
5.0,1.74,0.26,2.39
6.0,3.46,0.84,5.26
7.0,4.10,1.43,6.07
8.0,2.61,0.72,3.58
9.0,2.03,0.67,2.71
10.0,0.77,0.14,1.01
11.0,0.51,0.10,0.65
12.0,0.48,0.12,0.63
