Month,Mean,P25,P75
1.0,1.11,0.10,1.49
2.0,2.34,0.24,3.20
3.0,1.97,0.18,2.07
4.0,2.92,0.16,3.35
5.0,8.45,0.51,13.77
6.0,17.55,2.68,27.37
7.0,18.41,2.42,26.71
8.0,14.08,1.74,21.11
9.0,10.01,1.64,13.32
10.0,3.37,0.33,4.35
11.0,0.76,0.11,1.16
12.0,0.31,0.08,0.27
