Month,Mean,P25,P75
1.0,2.84,0.77,4.18
2.0,3.49,1.37,4.84
3.0,3.97,1.49,5.56
4.0,6.32,2.31,9.25
5.0,10.15,4.35,14.06
6.0,12.75,6.04,18.02
7.0,14.16,7.47,19.66
8.0,9.50,4.15,13.43
9.0,7.62,2.36,11.10
10.0,3.57,1.13,5.16
11.0,2.34,0.48,3.35
12.0,2.01,0.36,2.79
