Month,Mean,P25,P75
1.0,0.55,0.06,0.67
2.0,0.66,0.09,0.79
3.0,0.93,0.12,1.22
4.0,2.17,0.30,3.23
5.0,5.71,1.86,8.23
6.0,13.71,5.63,19.56
7.0,17.52,7.02,25.96
8.0,11.51,4.67,17.01
9.0,9.38,2.65,13.98
10.0,4.80,1.24,7.19
11.0,1.90,0.22,2.79
12.0,0.35,0.02,0.30
