Month,Mean,P25,P75
1.0,0.28,0.08,0.39
2.0,0.12,0.04,0.13
3.0,0.11,0.02,0.09
4.0,0.31,0.02,0.28
5.0,1.02,0.10,1.28
6.0,2.19,0.40,3.11
7.0,2.65,0.77,3.75
8.0,1.77,0.40,2.28
9.0,1.28,0.38,1.71
10.0,0.51,0.09,0.65
11.0,0.43,0.07,0.56
12.0,0.45,0.10,0.62
