Month,Mean,P25,P75
1.0,0.58,0.17,0.79
2.0,0.28,0.04,0.36
3.0,0.20,0.04,0.25
4.0,0.34,0.05,0.46
5.0,0.91,0.15,1.32
6.0,4.38,0.93,6.61
7.0,6.43,2.74,9.28
8.0,6.56,3.14,9.49
9.0,6.27,3.11,9.01
10.0,4.09,2.28,5.76
11.0,2.47,1.23,3.50
12.0,1.34,0.52,1.97
