Month,Mean,P25,P75
1.0,0.41,0.22,0.54
2.0,0.30,0.15,0.38
3.0,0.25,0.12,0.31
4.0,0.36,0.07,0.34
5.0,0.90,0.07,1.09
6.0,1.89,0.24,2.73
7.0,2.42,0.60,3.57
8.0,1.60,0.32,2.02
9.0,1.12,0.30,1.43
10.0,0.46,0.09,0.53
11.0,0.39,0.09,0.48
12.0,0.50,0.19,0.68
