Month,Mean,P25,P75
1.0,1.78,0.64,2.49
2.0,2.61,1.09,3.58
3.0,3.13,1.31,4.27
4.0,5.46,2.28,7.70
5.0,11.36,5.93,15.45
6.0,17.94,10.08,24.14
7.0,19.78,10.87,26.36
8.0,13.15,6.65,17.92
9.0,8.00,3.61,10.87
10.0,3.93,1.59,5.36
11.0,2.08,0.83,2.74
12.0,1.60,0.64,2.12
