Month,Mean,P25,P75
1.0,0.08,0.00,0.02
2.0,0.08,0.00,0.01
3.0,0.18,0.00,0.06
4.0,0.68,0.00,0.79
5.0,2.76,0.48,4.24
6.0,5.55,1.92,8.11
7.0,5.19,1.83,7.48
8.0,2.24,0.26,3.53
9.0,0.89,0.03,1.14
10.0,0.39,0.00,0.32
11.0,0.18,0.00,0.11
12.0,0.11,0.00,0.03
