Month,Mean,P25,P75
1.0,0.98,0.14,1.07
2.0,0.46,0.05,0.37
3.0,0.35,0.04,0.36
4.0,1.28,0.10,1.95
5.0,5.39,2.22,8.01
6.0,12.41,7.43,16.42
7.0,16.24,11.31,20.70
8.0,16.11,11.75,19.99
9.0,16.63,12.58,20.67
10.0,13.53,10.36,16.68
11.0,8.98,5.38,12.20
12.0,4.05,1.12,6.72
