Month,SCA
1.0,-0.00
2.0,-0.00
3.0,-0.00
4.0,-0.00
5.0,-0.83
6.0,0.00
7.0,-0.59
8.0,-1.49
9.0,-2.02
10.0,-1.74
11.0,-0.34
12.0,-0.00
