Month,Mean,P25,P75
1.0,0.89,0.25,1.10
2.0,1.21,0.26,1.44
3.0,1.13,0.20,1.21
4.0,1.46,0.23,1.36
5.0,3.87,0.34,5.62
6.0,7.41,0.64,9.44
7.0,8.03,0.66,10.20
8.0,5.02,0.48,6.92
9.0,3.94,0.49,4.66
10.0,1.54,0.41,1.70
11.0,0.66,0.35,0.73
12.0,0.57,0.28,0.59
