Month,Mean,P25,P75
1.0,0.14,0.00,0.10
2.0,0.11,0.00,0.07
3.0,0.28,0.00,0.18
4.0,0.96,0.01,1.19
5.0,3.89,0.36,5.77
6.0,12.53,5.54,18.40
7.0,18.52,12.48,24.03
8.0,17.88,12.59,23.42
9.0,15.12,10.04,20.10
10.0,10.71,5.16,16.14
11.0,4.83,0.83,7.26
12.0,0.92,0.00,0.84
