Month,Mean,P25,P75
1.0,2.43,0.28,3.41
2.0,1.18,0.21,1.11
3.0,0.82,0.21,1.01
4.0,2.48,0.38,3.86
5.0,7.44,2.90,11.28
6.0,15.56,10.16,20.28
7.0,19.80,13.95,25.16
8.0,19.81,14.57,24.49
9.0,20.30,15.67,25.19
10.0,17.35,14.12,20.88
11.0,13.62,9.70,17.84
12.0,7.68,2.53,13.14
