Month,Mean,P25,P75
1.0,2.61,0.92,3.54
2.0,1.95,0.74,2.35
3.0,1.58,0.66,2.11
4.0,2.99,0.72,4.66
5.0,7.17,2.18,10.64
6.0,16.52,9.14,23.26
7.0,24.70,17.79,31.24
8.0,23.35,17.25,29.49
9.0,21.77,15.56,27.91
10.0,18.33,12.70,24.36
11.0,12.86,6.73,18.82
12.0,6.36,2.19,9.70
