Month,Mean,P25,P75
1.0,0.02,0.00,0.00
2.0,0.02,0.00,0.00
3.0,0.03,0.00,0.02
4.0,0.16,0.00,0.12
5.0,0.95,0.02,1.29
6.0,4.13,1.23,6.14
7.0,6.82,3.69,9.30
8.0,5.90,3.53,8.07
9.0,3.85,2.02,5.46
10.0,1.98,0.58,3.20
11.0,0.65,0.04,0.90
12.0,0.09,0.00,0.04
