Month,Mean,P25,P75
1.0,0.28,0.19,0.35
2.0,0.16,0.08,0.21
3.0,0.12,0.04,0.16
4.0,0.20,0.04,0.21
5.0,0.46,0.07,0.44
6.0,1.43,0.22,1.84
7.0,2.28,0.72,3.08
8.0,1.90,0.67,2.23
9.0,1.50,0.73,1.92
10.0,0.75,0.35,0.98
11.0,0.40,0.16,0.54
12.0,0.41,0.23,0.55
