Month,Mean,P25,P75
1.0,3.47,1.60,4.81
2.0,3.95,2.11,5.23
3.0,4.11,2.15,5.47
4.0,5.90,2.89,7.99
5.0,9.56,4.79,13.13
6.0,16.59,8.00,23.04
7.0,19.55,9.63,27.01
8.0,13.50,6.39,18.80
9.0,12.26,4.55,18.15
10.0,8.98,3.64,12.81
11.0,4.71,1.95,6.59
12.0,3.12,1.08,4.31
