Year,SCA,CCA
2000,16.56,68.66
2001,15.71,63.72
2002,17.29,57.00
2003,16.24,46.92
2004,16.27,45.37
2005,17.43,47.94
2006,18.07,47.07
2007,21.11,50.25
2008,22.19,46.97
2009,18.87,49.75
2010,20.44,49.81
2011,22.98,48.81
2012,19.04,50.56
2013,16.96,45.48
2014,20.82,49.01
2015,19.78,49.15
2016,16.89,41.85
2017,16.34,47.89
2018,20.18,45.86
2019,17.81,47.37
2020,22.60,46.78
2021,14.81,47.30
2022,17.55,44.86
2023,21.52,45.28
