Elevation,Tendencia
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,0.0
1400,-0.004318901880707554
1500,-0.030065509482160767
1600,-0.12091754668158614
1700,-0.27257956980198966
1800,-0.5287254864335875
1900,-0.7866103015716481
2000,-1.0243663657130422
2100,-1.3934281554773964
2200,-2.1258743601425776
2300,-2.7820509173659507
2400,-3.4430736311805097
2500,-4.159049135342238
2600,-4.615661378507975
2700,-5.234547816245691
2800,-5.554218825191082
2900,-5.805286600688365
3000,-5.990411267605634
3100,-6.105365595790182
3200,-6.34464507653266
3300,-6.4857678315510965
3400,-6.73809468046903
3500,-7.045014546822344
3600,-7.359120750547093
3700,-7.673525062841934
3800,-8.078694762566684
3900,-8.710241493445043
4000,-9.035742523147693
4100,-9.494785862785863
4200,-10.145599817372442
4300,-10.548539188106052
4400,-9.93631706979412
4500,-9.647209870357614
4600,-9.159571868432627
4700,-7.724599145918943
4800,-7.9201116575834085
4900,-6.420736288504884
5000,-5.667226487523991
5100,-4.252400548696844
5200,-2.984042553191489
5300,-4.439887640449439
5400,-1.663036515054452
5500,-0.8338783518639634
5600,-0.8838821490467937
5700,0.0
5800,-0.1295774647887324
5900,-1.5696202531645569
