Year,SCA,CCA
2000,17.13,35.17
2001,15.60,27.84
2002,17.99,29.88
2003,13.65,17.67
2004,13.61,21.57
2005,16.16,21.23
2006,15.70,22.50
2007,15.14,18.31
2008,14.73,14.91
2009,12.86,20.66
2010,12.56,13.22
2011,14.16,16.40
2012,12.40,20.43
2013,12.61,15.31
2014,15.08,17.63
2015,12.14,21.48
2016,11.94,19.63
2017,13.95,17.60
2018,12.56,18.04
2019,9.25,17.91
2020,12.58,13.04
2021,10.04,15.22
2022,12.99,16.12
2023,12.71,22.72
