Year,SCA,CCA
2000,1.71,61.70
2001,1.20,51.16
2002,1.76,53.48
2003,1.79,38.21
2004,1.55,41.91
2005,2.36,38.69
2006,2.09,37.88
2007,3.05,35.84
2008,1.70,31.06
2009,1.64,36.53
2010,2.34,37.94
2011,2.27,34.41
2012,1.58,38.42
2013,1.75,33.47
2014,1.88,40.64
2015,1.65,37.05
2016,1.41,29.80
2017,2.23,38.66
2018,1.80,34.83
2019,1.76,35.49
2020,2.02,35.88
2021,1.47,29.22
2022,2.20,35.01
2023,2.14,36.96
