Elevation,Tendencia
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,-1.2971250150559138E-4
1400,0.0
1500,-0.001256915509545628
1600,-0.0018035573614163106
1700,-0.014560049529787223
1800,-0.044303964177531865
1900,-0.1133370779504461
2000,-0.20005085607730114
2100,-0.5041852876498547
2200,-0.9609995285242804
2300,-1.3397964353152467
2400,-2.0133897824413576
2500,-2.7638297872340423
2600,-3.712805124066976
2700,-4.156195189928155
2800,-4.874404289118343
2900,-5.47090013569885
3000,-6.213545120260405
3100,-6.556810081829322
3200,-6.900810623650653
3300,-6.807907094808977
3400,-6.897369044797342
3500,-7.214908118367701
3600,-6.933076923076924
3700,-8.0
