Elevation,Tendencia
100,0.42215739236735916
200,0.39178997735128496
300,0.36740021738233175
400,0.2764044144456603
500,0.28596463390983995
600,0.2171705362159287
700,0.1334993028996277
800,-0.0029237213568838257
900,-0.13797735099566988
1000,-0.41683084622730054
1100,-0.7862960714055355
1200,-1.5386232802437
1300,-2.1945073435192213
1400,-3.118030495610898
1500,-4.227356102122115
1600,-5.44793523532152
1700,-6.458750814969359
1800,-7.8639281610631
1900,-7.820640269587193
2000,-7.203083031647786
2100,-8.705031810294969
2200,0.0
