Elevation,Tendencia
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,-1.5564767592078565E-5
1400,-0.002502206013933371
1500,-0.01075419364359799
1600,-0.02847685663588567
1700,-0.07674760696697738
1800,-0.15859489455114212
1900,-0.2749872795769115
2000,-0.543415479399307
2100,-0.7857434902269504
2200,-1.1157507663751138
2300,-1.4245569014346664
2400,-1.966520196866516
2500,-2.4555848269125455
2600,-3.2705432705432678
2700,-3.8204943404242413
2800,-4.4216966081709055
2900,-4.871030962720658
3000,-5.333900047711529
3100,-5.620875713619017
3200,-6.024844487746377
3300,-6.414577478813092
3400,-6.925131492439171
3500,-7.38752318671395
3600,-7.8557137736648315
3700,-8.303219890195829
3800,-8.643863091555824
3900,-8.988154560648164
4000,-9.327829347626412
4100,-9.767868235926192
4200,-10.011221907114322
4300,-10.028642973246049
4400,-10.337204672152897
4500,-10.91405317417255
4600,-10.84618689581096
4700,-11.77003338898164
4800,-11.372953736654802
4900,-11.823333333333336
5000,-11.114840989399294
