Year,Elevation,SCA,CCA
2000.0,100,0.0,33.44482745756663
2000.0,200,0.0,29.909455317809577
2000.0,300,0.0,25.40887104985642
2000.0,400,0.0,23.73605306766976
2000.0,500,0.0,23.03638296561932
2000.0,600,0.0,22.566783000720744
2000.0,700,0.0,22.249051677185342
2000.0,800,0.0,21.956421735887147
2000.0,900,0.0,21.912779255624127
2000.0,1000,6.605664357186278E-4,21.464375095206297
2000.0,1100,0.0016194453399710595,21.19168713809895
2000.0,1200,0.0057194322135665256,20.650212034618598
2000.0,1300,0.020762557306231617,20.910234286029155
2000.0,1400,0.04942438429964073,21.156745831337815
2000.0,1500,0.20034075441886137,21.57308862036712
2000.0,1600,0.46621842019424004,21.91461775508043
2000.0,1700,1.005786030329387,22.64840816070718
2000.0,1800,2.114118558031489,23.618246105804563
2000.0,1900,3.777179002082973,24.505742844618016
2000.0,2000,5.293703501324029,24.97927859509848
2000.0,2100,7.510486662594171,24.909012775515826
2000.0,2200,9.868965517241378,24.599065406776923
2000.0,2300,13.433338473400154,24.118372150201207
2000.0,2400,15.038439413934281,23.82102052995529
2000.0,2500,17.855963626732574,23.56483654698477
2000.0,2600,20.976432516092697,23.79918149229442
2000.0,2700,24.684541237622135,24.244274788641246
2000.0,2800,28.6869265651914,24.887723311287235
2000.0,2900,32.001818279052344,25.53067413699945
2000.0,3000,36.270887352348005,26.123050400056044
2000.0,3100,38.227371944121046,25.435127648549752
2000.0,3200,39.85788512047505,26.0315229730773
2000.0,3300,42.89151056965376,25.67613391840943
2000.0,3400,44.706235726342925,25.699645762609148
2000.0,3500,46.681903190319005,25.940086252653007
2000.0,3600,47.45156583230442,26.633114469899116
2000.0,3700,52.54154357459379,27.650002897926296
2000.0,3800,51.547389761784096,27.62488149631719
2000.0,3900,53.27906976744186,27.165118753938376
2000.0,4000,51.93307086614173,28.903309914023918
2001.0,100,0.0,35.357660423957206
2001.0,200,0.0,32.93257505951096
2001.0,300,0.0,29.239431026320354
2001.0,400,0.0,26.332074933449363
2001.0,500,0.0,24.71742333766424
