Elevation,Tendencia
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,0.0
1400,0.0
1500,-3.031637984529172E-4
1600,-0.0014731937470022218
1700,-0.004035942323599854
1800,-0.017854054215250652
1900,-0.047352294884095196
2000,-0.13188291545988926
2100,-0.22518480898369167
2200,-0.4310305022763585
2300,-0.6557677070414771
2400,-0.9497271738446464
2500,-1.316456873717864
2600,-1.9266541330003775
2700,-2.5007737062174
2800,-3.3136827930031667
2900,-3.668220535705826
3000,-4.3960989521770415
3100,-5.0371396240436415
3200,-5.6386815154277645
3300,-6.272919947603138
3400,-6.69598079857407
3500,-7.187660024154588
3600,-7.42011201774088
3700,-7.608657739214029
3800,-7.772276241048931
3900,-7.987044428449911
4000,-8.152598222624242
4100,-8.196722944369737
4200,-8.25125341275751
4300,-7.881192418063737
4400,-7.838821547709485
4500,-6.75195793242336
4600,-6.211504281790272
4700,-6.690246516613076
4800,-8.143044332823761
4900,-7.9342347879532875
5000,-5.447916666666668
5100,-7.533822330888344
5200,-9.886861313868613
5300,-7.202511773940345
5400,-6.276315789473683
5500,-7.0
