Year,SCA,CCA
2000,14.55,33.60
2001,14.00,26.78
2002,15.31,25.33
2003,13.38,16.25
2004,12.87,20.96
2005,14.62,21.95
2006,14.39,22.64
2007,13.67,16.18
2008,13.61,12.57
2009,12.00,19.99
2010,12.21,10.74
2011,12.12,12.70
2012,11.81,19.50
2013,11.21,15.35
2014,12.08,16.58
2015,10.16,20.37
2016,12.57,20.30
2017,12.16,16.35
2018,10.27,16.06
2019,7.61,16.94
2020,9.99,12.19
2021,9.02,12.74
2022,10.68,14.71
2023,10.70,22.23
