Year,SCA,CCA
2000,6.91,7.62
2001,2.65,2.13
2002,11.74,3.78
2003,6.02,1.12
2004,4.06,2.76
2005,9.59,2.46
2006,4.13,0.72
2007,4.87,2.41
2008,3.59,1.03
2009,3.66,1.93
2010,2.41,1.46
2011,13.89,3.21
2012,7.71,1.99
2013,14.79,4.48
2014,3.27,1.44
2015,6.84,2.04
2016,3.41,2.18
2017,20.52,4.34
2018,11.74,2.66
2019,5.63,3.08
2020,6.45,1.41
2021,9.55,3.54
2022,4.67,1.29
2023,1.49,0.32
