group,variable,value
2000.0,100,0.00
2000.0,200,0.00
2000.0,300,0.00
2000.0,400,0.00
2000.0,500,0.00
2000.0,600,0.00
2000.0,700,0.00
2000.0,800,0.00
2000.0,900,0.00
2000.0,1000,0.00
2000.0,1100,0.01
2000.0,1200,0.02
2000.0,1300,0.08
2000.0,1400,0.21
2000.0,1500,0.55
2000.0,1600,1.04
2000.0,1700,1.93
2000.0,1800,2.88
2000.0,1900,3.89
2000.0,2000,5.65
2000.0,2100,7.33
2000.0,2200,9.21
2000.0,2300,10.76
2000.0,2400,13.75
2000.0,2500,15.86
2000.0,2600,19.10
2000.0,2700,22.16
2000.0,2800,24.64
2000.0,2900,27.32
2000.0,3000,30.06
2000.0,3100,31.95
2000.0,3200,34.65
2000.0,3300,36.99
2000.0,3400,40.58
2000.0,3500,43.60
2000.0,3600,45.54
2000.0,3700,47.53
2000.0,3800,49.63
2000.0,3900,50.76
2000.0,4000,51.38
2000.0,4100,53.27
2000.0,4200,54.68
2000.0,4300,52.79
2000.0,4400,54.54
2000.0,4500,56.25
2000.0,4600,54.35
2000.0,4700,62.17
2000.0,4800,61.74
2000.0,4900,61.49
2000.0,5000,58.92
2001.0,100,0.00
2001.0,200,0.00
2001.0,300,0.00
2001.0,400,0.00
2001.0,500,0.00
2001.0,600,0.00
2001.0,700,0.00
2001.0,800,0.00
2001.0,900,0.00
2001.0,1000,0.00
2001.0,1100,0.00
2001.0,1200,0.00
2001.0,1300,0.00
2001.0,1400,0.00
2001.0,1500,0.01
2001.0,1600,0.02
2001.0,1700,0.07
2001.0,1800,0.17
2001.0,1900,0.41
2001.0,2000,0.94
2001.0,2100,1.63
2001.0,2200,2.66
2001.0,2300,3.77
2001.0,2400,6.05
2001.0,2500,7.99
2001.0,2600,10.83
2001.0,2700,13.03
2001.0,2800,14.92
2001.0,2900,16.89
2001.0,3000,19.26
2001.0,3100,21.19
2001.0,3200,23.80
2001.0,3300,26.02
2001.0,3400,29.62
2001.0,3500,32.48
2001.0,3600,33.87
2001.0,3700,35.27
2001.0,3800,36.80
2001.0,3900,37.39
2001.0,4000,37.39
2001.0,4100,38.57
2001.0,4200,39.73
2001.0,4300,38.07
2001.0,4400,39.31
2001.0,4500,38.92
2001.0,4600,39.83
2001.0,4700,44.12
2001.0,4800,47.84
2001.0,4900,43.40
2001.0,5000,43.49
2002.0,100,0.00
2002.0,200,0.00
2002.0,300,0.00
2002.0,400,0.00
2002.0,500,0.00
2002.0,600,0.00
2002.0,700,0.00
2002.0,800,0.01
2002.0,900,0.01
2002.0,1000,0.02
2002.0,1100,0.05
2002.0,1200,0.11
2002.0,1300,0.30
2002.0,1400,0.57
2002.0,1500,1.14
2002.0,1600,1.96
2002.0,1700,3.07
2002.0,1800,4.21
2002.0,1900,5.36
2002.0,2000,7.19
2002.0,2100,9.02
2002.0,2200,11.25
2002.0,2300,13.08
2002.0,2400,16.56
2002.0,2500,19.12
2002.0,2600,22.66
2002.0,2700,25.73
2002.0,2800,28.18
2002.0,2900,30.92
2002.0,3000,33.94
2002.0,3100,36.22
2002.0,3200,39.21
2002.0,3300,41.30
2002.0,3400,44.47
2002.0,3500,46.96
2002.0,3600,48.49
2002.0,3700,50.10
2002.0,3800,51.53
2002.0,3900,52.03
2002.0,4000,52.17
2002.0,4100,52.47
2002.0,4200,52.75
2002.0,4300,52.05
2002.0,4400,52.13
2002.0,4500,51.87
2002.0,4600,51.98
2002.0,4700,55.49
2002.0,4800,57.07
2002.0,4900,53.60
2002.0,5000,55.70
2003.0,100,0.00
2003.0,200,0.00
2003.0,300,0.00
2003.0,400,0.00
2003.0,500,0.00
2003.0,600,0.00
2003.0,700,0.00
2003.0,800,0.00
2003.0,900,0.00
2003.0,1000,0.00
2003.0,1100,0.00
2003.0,1200,0.01
2003.0,1300,0.02
2003.0,1400,0.05
2003.0,1500,0.10
2003.0,1600,0.19
2003.0,1700,0.40
2003.0,1800,0.70
2003.0,1900,1.09
2003.0,2000,1.69
2003.0,2100,2.26
2003.0,2200,3.15
2003.0,2300,3.86
2003.0,2400,5.50
2003.0,2500,6.80
2003.0,2600,9.23
2003.0,2700,11.47
2003.0,2800,13.65
2003.0,2900,16.43
2003.0,3000,19.25
2003.0,3100,21.29
2003.0,3200,23.96
2003.0,3300,26.29
2003.0,3400,29.47
2003.0,3500,31.81
2003.0,3600,33.73
2003.0,3700,35.66
2003.0,3800,37.41
2003.0,3900,38.80
2003.0,4000,39.80
2003.0,4100,41.37
2003.0,4200,42.42
2003.0,4300,41.88
2003.0,4400,43.06
2003.0,4500,43.66
2003.0,4600,43.14
2003.0,4700,49.53
2003.0,4800,48.49
2003.0,4900,41.00
2003.0,5000,42.54
2004.0,100,0.00
2004.0,200,0.00
2004.0,300,0.00
2004.0,400,0.00
2004.0,500,0.00
2004.0,600,0.00
2004.0,700,0.00
2004.0,800,0.00
2004.0,900,0.00
2004.0,1000,0.00
2004.0,1100,0.00
2004.0,1200,0.02
