Year,SCA,CCA
2000,4.78,22.07
2001,2.72,21.24
2002,5.94,13.75
2003,2.62,8.83
2004,2.92,7.50
2005,3.82,13.25
2006,2.65,12.25
2007,3.42,6.37
2008,3.96,10.74
2009,2.96,11.03
2010,2.85,4.47
2011,3.74,6.76
2012,1.65,11.01
2013,1.79,8.12
2014,1.82,7.45
2015,2.74,10.58
2016,3.73,15.14
2017,3.41,9.87
2018,2.27,8.77
2019,0.42,6.33
2020,2.02,7.24
2021,0.72,2.50
2022,4.08,6.95
2023,0.61,10.94
