Year,SCA,CCA
2000,28.70,64.09
2001,27.13,62.98
2002,25.57,56.56
2003,24.44,54.40
2004,23.25,50.47
2005,28.44,50.36
2006,26.71,53.57
2007,29.97,52.79
2008,27.50,50.76
2009,28.83,55.06
2010,29.35,53.97
2011,26.69,53.10
2012,26.21,53.11
2013,22.75,47.24
2014,24.52,53.24
2015,23.71,51.52
2016,17.21,44.64
2017,24.02,54.16
2018,28.11,52.45
2019,24.29,49.79
2020,29.34,52.35
2021,20.46,50.73
2022,29.76,52.18
2023,30.47,51.33
