Year,SCA,CCA
2000,2.84,62.89
2001,1.90,52.74
2002,3.16,57.78
2003,3.02,45.29
2004,2.54,43.54
2005,3.78,42.65
2006,3.57,42.38
2007,4.49,39.95
2008,2.95,33.40
2009,3.17,42.06
2010,3.78,41.98
2011,3.42,39.42
2012,3.35,44.27
2013,2.97,38.01
2014,3.11,43.61
2015,2.79,39.45
2016,2.47,31.82
2017,3.79,43.33
2018,3.34,38.47
2019,3.30,39.58
2020,3.37,39.40
2021,2.81,31.56
2022,4.46,41.85
2023,3.80,41.27
