Year,SCA,CCA
2000,11.08,17.28
2001,6.90,12.17
2002,16.62,12.05
2003,8.82,5.82
2004,3.30,4.51
2005,13.47,9.19
2006,7.48,5.19
2007,11.60,6.93
2008,11.20,8.42
2009,4.94,7.51
2010,6.50,4.81
2011,7.37,6.04
2012,7.08,5.61
2013,7.31,4.93
2014,3.16,5.28
2015,11.13,9.17
2016,14.23,12.02
2017,9.27,8.58
2018,4.25,5.55
2019,3.43,5.28
2020,3.27,5.53
2021,2.80,2.46
2022,8.41,7.74
2023,1.46,5.46
