group,variable,value
2000.0,100,3.3190230626302824
2000.0,200,5.510203885823932
2000.0,300,5.785033068245011
2000.0,400,6.634340384313623
2000.0,500,7.208760725415437
2000.0,600,7.485150806992107
2000.0,700,8.176726663455659
2000.0,800,9.18088735880818
2000.0,900,9.568191421497964
2000.0,1000,11.762418812431184
2000.0,1100,14.205965923226335
2000.0,1200,16.838794910338546
2000.0,1300,20.347495234590973
2000.0,1400,22.674703869439647
2000.0,1500,23.38276865768497
2000.0,1600,23.86320872840116
2000.0,1700,25.599441983406344
2000.0,1800,20.25110353838548
2000.0,1900,25.49272763498703
2000.0,2000,29.090264859597827
2000.0,2100,
2000.0,2200,35.05393258426966
2001.0,100,1.6282696478559016
2001.0,200,3.1481866154953164
2001.0,300,4.074405218367779
2001.0,400,4.879411462307306
2001.0,500,5.22071666621586
2001.0,600,6.007245500741544
2001.0,700,6.756512805183365
2001.0,800,7.72557209560593
2001.0,900,7.632076874637401
2001.0,1000,9.340955969977168
2001.0,1100,11.786989977848943
2001.0,1200,14.386883464245035
2001.0,1300,18.22746787252444
2001.0,1400,20.81434023991306
2001.0,1500,22.815209377081306
2001.0,1600,24.900045173993483
2001.0,1700,29.27125480310333
2001.0,1800,24.643654212868128
2001.0,1900,32.35491797834892
2001.0,2000,42.66737532110903
2001.0,2100,
2001.0,2200,55.051685393258424
2002.0,100,3.5624737773298474
2002.0,200,5.376963300551672
2002.0,300,6.560142328820652
2002.0,400,7.453827713653377
2002.0,500,7.578046139223631
2002.0,600,8.144459220827429
2002.0,700,9.019479854782004
2002.0,800,10.132288372750157
2002.0,900,9.362071069759326
2002.0,1000,11.04283084909272
2002.0,1100,13.31990744088532
2002.0,1200,15.922820203389293
2002.0,1300,19.58705930780642
2002.0,1400,22.22597488060806
2002.0,1500,23.62958732114569
2002.0,1600,26.482153817447934
2002.0,1700,31.016755182456773
2002.0,1800,28.273253760858765
2002.0,1900,35.3259170706869
2002.0,2000,40.088404641686594
2002.0,2100,
2002.0,2200,42.08988764044943
2003.0,100,4.836328359998136
2003.0,200,6.153972175581652
2003.0,300,5.675088322021623
2003.0,400,5.198861453378589
2003.0,500,5.100865308650409
2003.0,600,4.667584117131893
2003.0,700,5.419619144629794
2003.0,800,5.703520647870539
