Year,SCA,CCA
2000,3.77,57.08
2001,2.73,44.90
2002,4.66,47.76
2003,3.60,34.79
2004,3.14,39.24
2005,5.52,33.61
2006,4.72,36.03
2007,8.54,30.98
2008,4.23,27.61
2009,3.83,33.01
2010,6.32,33.11
2011,5.81,29.09
2012,3.50,32.44
2013,4.28,27.35
2014,4.72,35.75
2015,4.30,33.72
2016,2.83,23.92
2017,5.15,36.19
2018,4.38,31.25
2019,4.39,30.17
2020,4.42,32.38
2021,3.02,25.76
2022,5.10,33.14
2023,3.73,32.16
