Sen_slope,Count,area
-10,165.0,41.0
-9,64.0,16.0
-8,81.0,20.0
-7,99.0,25.0
-6,223.0,56.0
-5,366.0,92.0
-4,752.0,188.0
-3,851.0,213.0
-2,477.0,119.0
-1,318.0,79.0
0,969.0,242.0
1,556.0,139.0
2,392.0,98.0
3,693.0,173.0
4,595.0,149.0
5,254.0,64.0
6,29.0,7.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
