group,variable,value
2000.0,100,0.18697903519603762
2000.0,200,0.10139725260083463
2000.0,300,0.14781865861190088
2000.0,400,0.11058015640237705
2000.0,500,0.18102408828212352
2000.0,600,0.28735068675953734
2000.0,700,0.39863435513686085
2000.0,800,0.5551267544598794
2000.0,900,0.6883941751610536
2000.0,1000,1.0546372593178592
2000.0,1100,1.7444790206324237
2000.0,1200,2.9463627346396373
2000.0,1300,4.882549020294036
2000.0,1400,7.92658022632177
2000.0,1500,11.463844047422516
2000.0,1600,17.436288556518463
2000.0,1700,24.371204962049624
2000.0,1800,31.693403959433276
2000.0,1900,45.22033079353272
2000.0,2000,58.909765495981425
2000.0,2100,72.09149661594829
2000.0,2200,79.87115254998875
2000.0,2300,83.42877232456755
2000.0,2400,85.73508634222918
2000.0,2500,88.75375832540442
2000.0,2600,91.30971659919025
2000.0,2700,95.89570552147241
2000.0,2800,95.71821631878557
2000.0,2900,95.3564727954972
2000.0,3000,98.58000000000003
2000.0,3100,99.10861423220973
2000.0,3200,98.62879788639366
2000.0,3300,
2000.0,3400,94.0925
2000.0,3500,97.10084033613445
2001.0,100,0.06916270407084232
2001.0,200,0.03276738148566704
2001.0,300,0.056114388371822546
2001.0,400,0.07897707264892645
2001.0,500,0.08309099936165698
2001.0,600,0.10738144447337614
2001.0,700,0.12772955981059889
2001.0,800,0.18337867443484143
2001.0,900,0.2515271363953617
2001.0,1000,0.5328769819490771
2001.0,1100,1.0015877904753823
2001.0,1200,1.5315577877477828
2001.0,1300,2.5198565874246275
2001.0,1400,4.130564582224973
2001.0,1500,6.355318528300424
2001.0,1600,10.363237932159159
2001.0,1700,16.385027600275986
2001.0,1800,24.482243603513936
2001.0,1900,45.03295546057107
2001.0,2000,60.48682153473518
2001.0,2100,79.21253371329705
2001.0,2200,87.28854938965021
2001.0,2300,92.69962030656728
2001.0,2400,95.61106750392466
2001.0,2500,95.6850618458611
2001.0,2600,95.71963562753035
2001.0,2700,96.22903885480574
2001.0,2800,96.50569259962047
2001.0,2900,94.83724202626642
2001.0,3000,92.35500000000002
2001.0,3100,93.31960049937578
2001.0,3200,89.33817701453106
2001.0,3300,
2001.0,3400,89.16
2001.0,3500,88.44537815126053
2002.0,100,0.2917941860703101
2002.0,200,0.23606389813017742
2002.0,300,0.38098030469336036
2002.0,400,0.3044686076822187
