Year,SCA,CCA
2000,15.19,58.87
2001,13.89,57.97
2002,13.82,52.29
2003,13.84,45.03
2004,12.45,45.06
2005,13.71,44.38
2006,16.01,44.59
2007,19.57,46.22
2008,21.54,45.07
2009,18.39,48.38
2010,18.79,46.39
2011,20.31,45.18
2012,16.82,47.24
2013,14.79,46.43
2014,18.62,45.73
2015,17.06,46.71
2016,12.10,42.26
2017,12.95,44.10
2018,19.29,44.95
2019,15.99,46.01
2020,20.63,43.58
2021,12.06,45.91
2022,15.46,44.95
2023,21.33,47.06
