Year,SCA,CCA
2000,3.05,42.17
2001,2.36,31.58
2002,3.58,34.29
2003,2.37,18.69
2004,2.25,25.79
2005,4.72,20.79
2006,4.84,23.43
2007,6.34,17.16
2008,4.14,18.10
2009,3.56,21.91
2010,5.53,16.08
2011,5.93,18.63
2012,3.32,21.65
2013,4.39,17.63
2014,5.38,18.22
2015,3.64,23.07
2016,2.10,17.76
2017,4.99,18.06
2018,3.53,19.72
2019,3.57,20.77
2020,4.13,14.70
2021,2.85,17.16
2022,4.43,19.06
2023,3.29,20.81
