Year,SCA,CCA
2000,9.10,73.15
2001,7.31,62.73
2002,9.02,70.16
2003,9.73,61.21
2004,9.26,57.54
2005,13.00,58.88
2006,13.10,58.16
2007,16.13,56.66
2008,10.31,47.63
2009,10.47,57.18
2010,13.87,58.95
2011,12.67,54.39
2012,10.83,58.35
2013,10.26,50.73
2014,10.80,57.73
2015,9.35,55.45
2016,8.13,46.29
2017,10.71,59.43
2018,12.49,53.37
2019,10.52,54.03
2020,12.06,55.61
2021,9.77,45.58
2022,14.14,55.56
2023,11.79,57.77
