group,variable,value
trend,100,0.0
trend,200,0.0
trend,300,0.0
trend,400,0.0
trend,500,0.0
trend,600,0.0
trend,700,0.0
trend,800,0.0
trend,900,0.0
trend,1000,0.0
trend,1100,0.0
trend,1200,-9.921497059760716E-4
trend,1300,-0.001203335561732521
trend,1400,-0.0024677932072946266
trend,1500,-0.015357960056121032
trend,1600,-0.016245028212006282
trend,1700,-0.0729372835230083
trend,1800,-0.115523658575677
trend,1900,-0.2426622395334482
trend,2000,-0.37509298865538415
trend,2100,-0.6876512133727605
trend,2200,-0.9848046984245368
trend,2300,-1.536312314611041
trend,2400,-2.2821596062168146
trend,2500,-2.8708826853053195
trend,2600,-3.4327676469554813
trend,2700,-4.0592823222316525
trend,2800,-4.432487115861803
trend,2900,-5.010840274375301
trend,3000,-5.418405192396846
trend,3100,-5.851838079048023
trend,3200,-5.925128934732351
trend,3300,-6.027670772068798
trend,3400,-6.036309269542929
trend,3500,-6.290821843741553
trend,3600,-6.642062019613041
trend,3700,-7.367148838979832
trend,3800,-7.008156028368796
trend,3900,
trend,4000,-8.304979253112034
