Year,Snowline_elev
2000.0,2584.494305132162
2001.0,2709.0947900664582
2002.0,2631.478250633384
2003.0,2735.446104123519
2004.0,2635.8746752359452
2005.0,2562.9617445122917
2006.0,2673.0583483981427
2007.0,2695.3115904818546
2008.0,2638.7279829531435
2009.0,2731.4978294952602
2010.0,2657.0233243851017
2011.0,2788.444562773637
2012.0,2765.4146294279703
2013.0,2673.9351725404103
2014.0,2657.6057341053856
2015.0,2743.883810019007
2016.0,2720.8755927922725
2017.0,2579.7341574697284
2018.0,2875.833743748675
2019.0,2982.60486513465
2020.0,2836.464823346388
2021.0,2734.8631548830517
2022.0,2786.7564922084316
2023.0,2802.805096836094
