Elevation,Tendencia
100,0.0
200,0.0
300,0.0023245212378883748
400,3.6086202471593735E-4
500,0.0
600,0.0
700,0.0
800,0.0
900,-4.56931181765758E-4
1000,-7.647781426406834E-5
1100,-0.0068746307694638135
1200,-0.02336578031022475
1300,-0.054395590439178076
1400,-0.18402612887466133
1500,-0.3459180231835692
1600,-0.6927467362730116
1700,-1.1370989242198248
1800,-1.6391282985270916
1900,-2.1663332392717107
2000,-2.9087758310322624
2100,-3.544625750078956
2200,-3.996489756747059
2300,-4.3709352552902345
2400,-4.818306405673383
2500,-5.139792799168787
2600,-5.634810869300172
2700,-6.148623846091164
2800,-6.54839270691775
2900,-7.121749895306037
3000,-7.81609365957889
3100,-8.60149347502199
3200,-9.250240503416093
3300,-9.862724864715537
3400,-10.406587636655463
3500,-10.544471918050156
3600,-10.198169299682665
3700,-9.682949513738652
3800,-8.943046437081097
3900,-8.224246536612949
4000,-8.353915946477127
4100,-8.0197635349309
4200,-8.027096483318305
4300,-8.451287513313703
4400,-8.249485339119792
4500,-7.674040338321404
4600,-8.244087403598972
4700,-8.672252341054707
4800,-6.077210460772104
4900,-4.9985888993414855
5000,-3.9304435483870965
5100,-4.028997514498757
