Sen_slope,Count,Area
-10,3689.0,922.0
-9,2147.0,537.0
-8,3221.0,805.0
-7,3421.0,855.0
-6,3505.0,876.0
-5,2924.0,731.0
-4,1658.0,415.0
-3,1284.0,321.0
-2,1308.0,327.0
-1,2184.0,546.0
0,762.0,191.0
1,4.0,1.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
