Elevation,Tendencia
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0013136350335879669
1300,0.0
1400,0.0015545103069823792
1500,0.003962186382311098
1600,0.0013626760286829561
1700,0.0030414754319654422
1800,0.0030663928815879526
1900,0.0031241975519986304
2000,0.002215459525258673
2100,0.005466619233961817
2200,0.002646737364487638
2300,-0.004031618624736206
2400,-0.02102013407858587
2500,-0.03139167393199651
2600,-0.08607772230305302
2700,-0.12560769759157397
2800,-0.21074575748389957
2900,-0.3671628646194494
3000,-0.5290171477826292
3100,-0.930532950672349
3200,-1.3216327690587553
3300,-1.786766025545152
3400,-2.387745380793775
3500,-3.294600875920771
3600,-4.026482442956688
3700,-4.671808593365646
3800,-5.434507413052516
3900,-6.011768763603994
4000,-6.425554076186211
4100,-6.4923638221205
4200,-6.591124400911035
4300,-6.593637724057462
4400,-6.604464431011284
4500,-6.781144677982717
4600,-7.035829914153476
4700,-6.68424472612456
4800,-6.534380666039338
4900,-5.66528204702168
5000,-5.026771776459569
5100,-4.830064935064934
5200,-4.498580935603837
5300,-2.5337454920144253
5400,-2.838049367850692
5500,-2.4240025332488915
5600,-0.31049392981872614
5700,-0.3629611289923248
5800,-0.3424178895877009
5900,-0.14267015706806283
6000,0.0
6100,0.0
6200,0.0
