Year,SCA,CCA
2000,14.31,72.26
2001,11.67,68.99
2002,14.86,63.51
2003,14.13,54.97
2004,12.69,54.40
2005,14.39,55.21
2006,16.48,54.47
2007,18.35,57.97
2008,21.15,55.97
2009,20.77,57.75
2010,20.32,55.73
2011,21.40,55.57
2012,16.13,57.31
2013,15.07,56.09
2014,19.31,57.32
2015,16.77,56.48
2016,12.24,46.74
2017,12.75,54.71
2018,19.88,55.05
2019,15.24,54.93
2020,21.61,54.99
2021,11.56,51.95
2022,14.53,53.35
2023,21.69,55.21
