date,value
2000.0,2257.759609585307
2001.0,2145.63438910942
2002.0,2003.3972386733094
2003.0,2186.6406397508617
2004.0,2235.6415394746905
2005.0,2068.9226111636485
2006.0,2596.338510488086
2007.0,2891.7434369516427
2008.0,
2009.0,2019.7799124260387
2010.0,2735.912173967276
2011.0,2054.3332667038976
2012.0,2473.974857113143
2013.0,2493.2849492111177
2014.0,2464.9500283361367
2015.0,2181.8727319075097
2016.0,2891.7434369516427
2017.0,2736.4576354049386
2018.0,
2019.0,3304.657998520418
2020.0,2348.6755074124953
2021.0,2973.9467814603354
2022.0,2053.242333255615
