Year,SCA,CCA
2000,9.04,18.91
2001,6.01,14.99
2002,11.21,11.67
2003,6.51,5.61
2004,3.92,5.71
2005,9.28,9.77
2006,5.44,6.84
2007,7.42,5.82
2008,8.66,8.30
2009,4.90,7.74
2010,5.73,4.20
2011,6.96,6.61
2012,4.79,7.09
2013,6.06,6.02
2014,3.05,4.55
2015,6.85,8.60
2016,8.63,12.37
2017,8.03,10.15
2018,4.20,5.95
2019,1.45,4.42
2020,3.05,4.61
2021,1.36,2.00
2022,7.61,7.01
2023,0.86,6.45
