Year,SCA,CCA
2000,1.43,47.26
2001,0.77,45.95
2002,2.02,41.51
2003,2.51,34.69
2004,2.15,32.30
2005,3.51,31.10
2006,2.95,34.47
2007,3.43,31.18
2008,2.46,28.18
2009,3.01,32.62
2010,3.43,33.87
2011,2.87,31.55
2012,3.11,32.55
2013,2.13,28.70
2014,2.86,33.52
2015,3.42,31.92
2016,2.20,27.49
2017,3.12,34.34
2018,3.17,31.55
2019,3.02,29.07
2020,3.27,29.18
2021,2.43,29.32
2022,4.47,31.40
2023,4.40,31.73
