Year,Snowline_elev
2000.0,558.6559468977266
2001.0,595.9851394698906
2002.0,562.0610829666612
2003.0,554.4265799168229
2004.0,548.0274208291498
2005.0,490.5445335096211
2006.0,491.2800977232826
2007.0,491.71816168543705
2008.0,454.4927262490109
2009.0,479.67744144637766
2010.0,536.3027770978131
2011.0,466.3698327153475
2012.0,467.14619515865974
2013.0,460.9884155859173
2014.0,497.7590473827408
2015.0,495.4113641830402
2016.0,515.9826781079296
2017.0,500.9362477414339
2018.0,511.8261919205336
2019.0,494.1965722314884
2020.0,485.16929231345745
2021.0,473.59188502378385
2022.0,516.4558393891662
2023.0,483.59973413365327
