Year,SCA,CCA
2000,40.40,82.72
2001,41.73,81.44
2002,43.50,76.88
2003,45.52,71.58
2004,43.81,66.22
2005,52.53,64.21
2006,53.81,68.40
2007,55.08,67.49
2008,49.32,65.77
2009,57.52,69.18
2010,53.06,70.26
2011,51.01,68.33
2012,53.24,66.84
2013,49.89,59.34
2014,51.36,68.70
2015,50.13,65.28
2016,43.95,57.26
2017,47.11,68.69
2018,53.38,66.63
2019,49.90,63.77
2020,51.74,66.91
2021,43.41,62.13
2022,49.55,65.27
2023,55.14,64.92
