Elevation,Tendencia
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,7.575369811127606E-4
800,0.001360426698913818
900,9.712132395788821E-4
1000,-3.6800475885605976E-4
1100,-0.0034462592422406938
1200,-0.0241263007582095
1300,-0.09961364773896755
1400,-0.3537511469551361
1500,-0.6003735885989829
1600,-1.173844218046029
1700,-1.885774374391165
1800,-2.7020156015642653
1900,-3.3288036016475595
2000,-3.5708477320863845
2100,-3.817182344518459
2200,-3.92849394271564
2300,-4.051880824284034
2400,-4.342357261843299
2500,-4.652299239893668
2600,-5.130613431534066
2700,-5.577623001218957
2800,-6.072376968248192
2900,-6.631433002231047
3000,-7.363032639631813
3100,-8.045990778662132
3200,-8.961898363645087
3300,-8.864110502500596
3400,-9.510179153094462
3500,-10.15983238551332
3600,-6.881681132937415
3700,-7.177400047881254
3800,-9.06503298774741
3900,-7.2613768961493586
4000,-6.0
