x,y,CI_left,CI_right
1.0,1.36,0.45,1.93
2.0,1.07,0.39,1.48
3.0,0.86,0.25,1.03
4.0,2.07,0.31,3.16
5.0,4.89,1.66,7.33
6.0,8.31,3.58,11.84
7.0,11.02,5.89,15.08
8.0,9.29,4.46,13.04
9.0,8.11,2.92,12.25
10.0,4.90,1.82,7.40
11.0,1.43,0.22,2.14
12.0,1.27,0.31,1.73
