x,y,CI_left,CI_right
1.0,0.20,0.00,0.17
2.0,0.25,0.01,0.19
3.0,0.61,0.02,0.70
4.0,1.90,0.16,3.09
5.0,5.47,2.36,7.88
6.0,8.56,4.40,11.95
7.0,9.14,4.68,12.50
8.0,4.70,1.44,6.75
9.0,1.61,0.16,2.60
10.0,0.63,0.01,0.84
11.0,0.28,0.00,0.24
12.0,0.19,0.00,0.14
