x,y,CI_left,CI_right
1.0,0.45,0.19,0.54
2.0,0.28,0.10,0.32
3.0,0.25,0.09,0.27
4.0,0.52,0.09,0.65
5.0,1.18,0.26,1.53
6.0,6.20,2.17,8.82
7.0,10.22,5.71,13.93
8.0,10.18,5.75,14.00
9.0,9.92,5.94,13.68
10.0,5.10,2.86,7.03
11.0,2.48,1.15,3.50
12.0,1.02,0.38,1.33
