x,y,CI_left,CI_right
1.0,1.25,0.38,1.67
2.0,1.90,0.81,2.34
3.0,2.11,0.82,2.92
4.0,3.57,1.22,5.08
5.0,7.78,3.99,10.61
6.0,13.50,8.65,17.92
7.0,15.26,9.49,20.20
8.0,9.64,5.44,13.14
9.0,5.65,2.23,8.33
10.0,3.05,1.29,4.27
11.0,1.66,0.75,2.13
12.0,1.07,0.28,1.31
