x,y,CI_left,CI_right
1.0,0.82,0.26,1.00
2.0,0.98,0.30,1.15
3.0,1.16,0.44,1.37
4.0,0.94,0.41,1.10
5.0,0.91,0.32,0.94
6.0,1.30,0.25,0.80
7.0,2.25,0.24,1.94
8.0,0.91,0.22,0.72
9.0,0.58,0.15,0.55
10.0,0.30,0.09,0.33
11.0,0.23,0.05,0.27
12.0,0.39,0.06,0.43
