x,y,CI_left,CI_right
1.0,0.83,0.23,1.01
2.0,1.16,0.25,1.40
3.0,1.11,0.21,1.20
4.0,1.40,0.23,1.30
5.0,3.50,0.33,5.10
6.0,6.75,0.60,8.59
7.0,7.35,0.61,9.21
8.0,4.89,0.49,7.10
9.0,3.80,0.47,4.87
10.0,1.52,0.39,1.76
11.0,0.62,0.33,0.70
12.0,0.53,0.24,0.54
