x,y,CI_left,CI_right
1.0,0.13,0.00,0.09
2.0,0.10,0.00,0.06
3.0,0.26,0.00,0.17
4.0,0.90,0.01,1.17
5.0,3.14,0.34,4.67
6.0,10.26,4.53,15.21
7.0,14.64,10.05,18.74
8.0,14.83,10.64,19.32
9.0,12.81,8.28,17.11
10.0,9.00,4.27,13.44
11.0,4.30,0.63,6.85
12.0,0.84,0.00,0.78
