x,y,CI_left,CI_right
1.0,0.25,0.17,0.32
2.0,0.16,0.08,0.20
3.0,0.11,0.04,0.15
4.0,0.19,0.04,0.19
5.0,0.41,0.07,0.39
6.0,1.28,0.21,1.61
7.0,1.96,0.61,2.67
8.0,1.61,0.61,1.87
9.0,1.24,0.64,1.57
10.0,0.60,0.29,0.77
11.0,0.34,0.13,0.47
12.0,0.34,0.18,0.46
