x,y,CI_left,CI_right
1.0,3.87,1.84,5.18
2.0,3.13,1.67,3.67
3.0,2.63,1.48,3.35
4.0,3.93,1.54,5.72
5.0,7.05,3.34,9.96
6.0,11.88,6.36,16.76
7.0,16.57,11.94,20.91
8.0,17.06,12.63,21.18
9.0,16.40,12.02,20.39
10.0,13.40,9.48,17.11
11.0,11.52,7.32,15.68
12.0,6.95,3.28,10.43
